Rank,Name,,Country,event_name,date,gender
25,WILLIAM,BOSI,GBR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
26,DOMEN,SKOFIC,SLO,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
27,HANNES,PUMAN,SWE,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
28,BASSA,MAWEM,FRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
29,CARLOS FELIPE,GRANJA LOPEZ,ECU,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
30,DANYIL,BOLDYREV,UKR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
31,JOHN,BROSLER,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
32,TIM,REUSER,NED,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
33,YUFEI,PAN,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
34,NICOLAS,COLLIN,BEL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
35,QIXIN,ZHONG,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
36,ALBERTO,GINÉS LÓPEZ,ESP,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
37,CHEUNG-CHI SHOJI,CHAN,HKG,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
38,SEAN,BAILEY,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
39,NIKOLAI,IARILOVETS,RUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
40,MARCELLO,BOMBARDI,ITA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
41,LONG,CAO,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
42,JOE,GOODACRE,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
43,ALEKSANDR,SHIKOV,RUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
44,ANZE,PEHARC,SLO,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
45,JAKUB,KONECNY,CZE,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
46,MARTIN,STRANIK,CZE,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
47,WILLIAM,RIDAL,GBR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
48,MIKEL ASIER,LINACISORO MOLINA,ESP,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
49,MARCIN,DZIENSKI,POL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
50,NIMROD,MARCUS,ISR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
51,ALEX,KHAZANOV,ISR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
52,DANNY,VALENCIA,ECU,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
53,JABEE,KIM,KOR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
54,ZACH,GALLA,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
55,CHI-FUNG,AU,HKG,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
56,JASON,HOLOWACH,CAN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
57,SINGH,ADARSH,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
58,ROMAIN,DESGRANGES,FRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
59,YUVAL,SHEMLA,ISR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
60,CAMPBELL,HARRISON,AUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
61,DOHYUN,LEE,KOR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
62,CHINGKHEINGANBA,MAIBAM,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
63,LOÏC,TIMMERMANS,BEL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
64,FELIPE,HO FOGANHOLO,BRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
65,CESAR,GROSSO,BRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
66,WINAI,RUANGRIT,THA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
67,BEN,ABEL,AUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
68,DAVOUD,REKABI,IRI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
69,RAM,LEVIN,ISR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
70,SIRAPOB,JIRAJATURAPAK,THA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
71,SAM,LAVENDER,AUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
72,GEORGE,SANDERS,NZL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
73,GAURAV,KUMAR,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
74,YARDEN,PILPEL,ISR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
75,CALRIN,CURTIS,RSA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
76,EMMANUEL,ESTRADA DE ARTOLA,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
77,OR,MINIELY,ISR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
78,SAHIL,KHAN,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
79,SANTIAGO,GARCIA,ARG,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
80,EMILIO,VALDEZ GARDUÑO,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
81,THOMAS,WALDIN,NZL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
82,HRITIK,MARNE,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
83,JAVIER IVÁN,MOLINA FRANCO,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Men
1,JANJA,GARNBRET,SLO,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
2,AKIYO,NOGUCHI,JPN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
3,SHAUNA,COXSEY,GBR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
4,FUTABA,ITO,JPN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
5,MIHO,NONAKA,JPN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
6,MIA,KRAMPL,SLO,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
7,CHAEHYUN,SEO,KOR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
8,IEVGENIIA,KAZBEKOVA,UKR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
9,ALEKSANDRA,MIROSLAW,POL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
10,DI,NIU,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
11,LUCKA,RAKOVEC,SLO,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
12,AI,MORI,JPN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
13,ANOUCK,JAUBERT,FRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
14,ALANNAH,YIP,CAN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
15,NANAKO,KURA,JPN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
16,JULIA,CHANOURDIE,FRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
17,JESSICA,PILZ,AUT,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
18,PETRA,KLINGLER,SUI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
19,BROOKE,RABOUTOU,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
20,VITA,LUKAN,SLO,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
21,YUETONG,ZHANG,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
22,ELENA,KRASOVSKAIA,RUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
23,FANNY,GIBERT,FRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
24,SOL,SA,KOR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
25,KYRA,CONDIE,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
26,YILING,SONG,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
27,LAURA,ROGORA,ITA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
28,ALEKSANDRA,KALUCKA,POL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
29,OCEANIA,MACKENZIE,AUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
30,ELNAZ,REKABI,IRI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
31,ALEJANDRA,CONTRERAS,CHI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
32,ANDREA,ROJAS,ECU,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
33,SANDRA,LETTNER,AUT,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
34,HUNG YING,LEE,TPE,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
35,MEI,KOTAKE,JPN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
36,ANNE-SOPHIE,KOLLER,SUI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
37,VIKTORIIA,MESHKOVA,RUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
38,SOFYA,YOKOYAMA,SUI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
39,NATALIA,KALUCKA,POL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
40,JAIN,KIM,KOR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
41,PATRYCJA,CHUDZIAK,POL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
42,NATALIA,GROSSMAN,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
43,ANDREA,KÜMIN,SUI,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
44,ASHIMA,SHIRAISHI,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
45,ANNA,BROZEK,POL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
46,ASSEL,MARLENOVA,KAZ,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
47,MARGARITA,AGAMBAYEVA,KAZ,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
48,AFRA,HÖNIG,GER,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
49,ALEX,JOHNSON,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
50,SIENNA,KOPF,USA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
51,RONG,JIANG,CHN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
52,VALENTINA,AGUADO,ARG,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
53,LAN,KIM,KOR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
54,TAMARA,ULZHABAYEVA,KAZ,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
55,TIFFANY,MELIUS,AUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
56,PUNTARIKA,TUNYAVANICH,THA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
57,LUCINDA ANN,TURNBULL,AUS,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
58,THAIS MAKINO,SHIRAIWA,BRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
59,REBECCA,FRANGOS,CAN,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
60,JOANNA,NEAME,GBR,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
61,BIANCA,DE MAGALHAES DE CASTRO,BRA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
62,WAI-PING,YU,HKG,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
63,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
64,RACHELLE,DE CHARMOY,RSA,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
65,VALERIA,MACIAS FERREIRA,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
66,JAYATI,GADAMSHETTY,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
67,JENNIFER MARIE,DE LA TORRE,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
68,PRATEEKSHA,ARUN,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
69,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
70,SARAH,TETZLAFF,NZL,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
71,ARANTZA,LUNA VELASCO,MEX,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
72,SIDDHI SHEKHAR,MANERIKAR,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
73,DHANSHRI,LEKURWALA,IND,Hachioji_(JPN)_2019,11 August - 21 August 2019,Women
1,TOMOA,NARASAKI,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
2,JAKOB,SCHUBERT,AUT,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
3,RISHAT,KHAIBULLIN,KAZ,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
4,KAI,HARADA,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
5,MEICHI,NARASAKI,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
6,KOKORO,FUJII,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
7,MICKAEL,MAWEM,FRA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
8,ALEXANDER,MEGOS,GER,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
9,LUDOVICO,FOSSALI,ITA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
10,SEAN,MCCOLL,CAN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
11,YANNICK,FLOHÉ,GER,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
12,NATHANIEL,COLEMAN,USA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
13,RUDOLPH,RUANA,USA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
14,MICHAEL,PICCOLRUAZ,ITA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
15,KEITA,DOHI,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
16,JERNEJ,KRUDER,SLO,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
17,JAN,HOJER,GER,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
18,ADAM,ONDRA,CZE,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
19,STEFANO,GHISOLFI,ITA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
20,JONGWON,CHON,KOR,Hachioji_(JPN)_2019,18 August - 21 August 2019,Men
1,JANJA,GARNBRET,SLO,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
2,AKIYO,NOGUCHI,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
3,SHAUNA,COXSEY,GBR,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
4,ALEKSANDRA,MIROSLAW,POL,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
5,MIHO,NONAKA,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
6,AI,MORI,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
7,FUTABA,ITO,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
8,PETRA,KLINGLER,SUI,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
9,BROOKE,RABOUTOU,USA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
10,JESSICA,PILZ,AUT,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
11,ANOUCK,JAUBERT,FRA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
12,JULIA,CHANOURDIE,FRA,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
13,CHAEHYUN,SEO,KOR,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
14,MIA,KRAMPL,SLO,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
15,DI,NIU,CHN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
16,VITA,LUKAN,SLO,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
17,LUCKA,RAKOVEC,SLO,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
18,ALANNAH,YIP,CAN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
19,NANAKO,KURA,JPN,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
20,IEVGENIIA,KAZBEKOVA,UKR,Hachioji_(JPN)_2019,18 August - 21 August 2019,Women
